dep,go_cncf_repos_using_dep
go.opentelemetry.io/otel,25
gopkg.in/yaml.v3,35
k8s.io/api,81
golang.org/x/crypto,33
github.com/pkg/errors,51
go.opentelemetry.io/otel/trace,21
github.com/fsnotify/fsnotify,23
github.com/golang/protobuf,29
github.com/onsi/ginkgo/v2,32
google.golang.org/grpc,54
github.com/go-logr/logr,32
sigs.k8s.io/controller-runtime,59
golang.org/x/sync,41
github.com/prometheus/client_golang,66
k8s.io/component-base,25
google.golang.org/protobuf,41
github.com/sirupsen/logrus,39
golang.org/x/net,39
github.com/stretchr/testify,76
github.com/onsi/gomega,53
go.opentelemetry.io/otel/sdk,22
gopkg.in/yaml.v2,35
k8s.io/utils,52
k8s.io/client-go,81
github.com/spf13/viper,25
github.com/golang/mock,24
github.com/prometheus/common,24
k8s.io/klog/v2,41
k8s.io/cli-runtime,23
golang.org/x/oauth2,23
github.com/spf13/cobra,65
golang.org/x/sys,37
k8s.io/kubectl,24
github.com/google/uuid,43
github.com/prometheus/client_model,21
github.com/gorilla/mux,24
github.com/google/go-cmp,43
k8s.io/apimachinery,83
k8s.io/apiserver,23
k8s.io/apiextensions-apiserver,39
github.com/spf13/pflag,55
sigs.k8s.io/yaml,48
go.uber.org/zap,29
golang.org/x/time,23
